</s>	</s>
.	.
,	,
-	-
'	'
di	di
yang	yang
dan	dan
)	)
(	(
pada	pada
dalam	dalam
dengan	dengan
ini	ini
the	the
untuk	untuk
juga	juga
subdivision_type	subdivision_type
indonesia	indonesia
dari	dari
daerah	daerah
oleh	oleh
tahun	tahun
#	#
of	of
adalah	adalah
blank	blank
+	+
population_density_blank	population_density_blank
ke	ke
wilayah	wilayah
}	}
luar	luar
population_blank	population_blank
sekolah	sekolah
subdivision_name	subdivision_name
atau	atau
bahasa	bahasa
orang	orang
malaysia	malaysia
itu	itu
_title	_title
kampung	kampung
timezone	timezone
%	%
jabatan	jabatan
ia	ia
satu	satu
_km	_km
_sq_mi	_sq_mi
–	–
timezone_dst	timezone_dst
utc_offset	utc_offset
negara	negara
a	a
kebangsaan	kebangsaan
bandar	bandar
and	and
imperial	imperial
_name	_name
_info	_info
unit_pref	unit_pref
bagi	bagi
in	in
utc_offset_dst	utc_offset_dst
s	s
desa	desa
negeri	negeri
barat	barat
lain	lain
kecamatan	kecamatan
to	to
akan	akan
nama	nama
perbandaran	perbandaran
timur	timur
}}	}}
dua	dua
rd	rd
pertama	pertama
goals	goals
score	score
perempuan	perempuan
svg	svg
india	india
dia	dia
leader_title	leader_title
kabupaten	kabupaten
area_blank	area_blank
dunia	dunia
laut	laut
al	al
selatan	selatan
stadium	stadium
/	/
besar	besar
antara	antara
utara	utara
raya	raya
republik	republik
tentera	tentera
amerika	amerika
turki	turki
baru	baru
buah	buah
jawa	jawa
bawah	bawah
hari	hari
google	google
map	map
melayu	melayu
sama	sama
px	px
iran	iran
ahli	ahli
pasukan	pasukan
islam	islam
mana	mana
laman	laman
established	established
atas	atas
masa	masa
lagu	lagu
style	style
tengah	tengah
jerman	jerman
jalan	jalan
gmt	gmt
de	de
!	!
cet	cet
utama	utama
e	e
salah	salah
lagi	lagi
m	m
pancasila	pancasila
jenis	jenis
sungai	sungai
c	c
kota	kota
b	b
anak	anak
ada	ada
n	n
tanah	tanah
national	national
an	an
bersama	bersama
hanya	hanya
menengah	menengah
air	air
raja	raja
perang	perang
wanita	wanita
for	for
kuala	kuala
sistem	sistem
pulau	pulau
team	team
f	f
caps	caps
kanak	kanak
pendidikan	pendidikan
kini	kini
undang	undang
text	text
carian	carian
cest	cest
serbia	serbia
tiga	tiga
align	align
is	is
tinggi	tinggi
guru	guru
czech	czech
wikipedia	wikipedia
d	d
on	on
menteri	menteri
}}}	}}}
bulan	bulan
kecil	kecil
taman	taman
album	album
azerbaijan	azerbaijan
as	as
new	new
club	club
i	i
mukim	mukim
batu	batu
buku	buku
rumah	rumah
from	from
bola	bola
data	data
flag	flag
china	china
postal_code_type	postal_code_type
pusat	pusat
sultan	sultan
by	by
no	no
country	country
paling	paling
?	?
murid	murid
kali	kali
at	at
bersatu	bersatu
masih	masih
naib	naib
mula	mula
awal	awal
peta	peta
akhir	akhir
bin	bin
w	w
sepak	sepak
kereta	kereta
clubnat	clubnat
