​	​
‎	‎
!	!
"	"
#	#
##	##
###	###
####	####
#}	#}
%	%
%%	%%
%+	%+
%}}	%}}
%–	%–
&	&
'	'
(	(
)	)
+	+
++	++
+,	+,
+/	+/
+/−	+/−
+\	+\
+}	+}
+∞	+∞
,	,
,,	,,
,\	,\
,\,	,\,
,}}	,}}
,–	,–
-	-
.	.
/	/
/+	/+
//	//
///	///
////	////
/////	/////
//////	//////
///////	///////
////////	////////
/\	/\
/}	/}
/}}}	/}}}
/–	/–
<	<
>	>
>>	>>
>}	>}
>}}	>}}
?	?
@	@
\	\
\,	\,
\,+\	\,+\
\,,	\,,
\,\	\,\
\\	\\
\\}	\\}
\}	\}
^	^
^+	^+
^\	^\
^}	^}
_	_
__	__
___	___
_}}	_}}
`	`
{	{
}	}
}%	}%
}+	}+
}+}	}+}
},	},
}/	}/
}/}	}/}
}>	}>
}\	}\
}^	}^
}_	}_
}}	}}
}}%	}}%
}}+	}}+
}}+}	}}+}
}},	}},
}}/	}}/
}}}	}}}
}}}+	}}}+
}}}/	}}}/
}}}>	}}}>
}}}}	}}}}
}}}}}	}}}}}
}}}}}}	}}}}}}
}}}}}}}	}}}}}}}
}}}}}}}}	}}}}}}}}
}}}}}}}}}	}}}}}}}}}
}}}}}}}}}}	}}}}}}}}}}
}}}}}}}}}}}	}}}}}}}}}}}
}}}}}}}}}}}}	}}}}}}}}}}}}
}}}}}}}}}}}}}	}}}}}}}}}}}}}
~	~
~~~	~~~
~~~~	~~~~
§	§
©	©
¬	¬
®	®
°	°
±	±
·	·
»	»
×	×
÷	÷
˚	˚
–	–
–/–	–/–
—	—
—}}	—}}
‘	‘
†	†
‡	‡
•	•
…	…
‰	‰
″	″
‹	‹
›	›
⁄	⁄
←	←
↑	↑
→	→
↓	↓
↔	↔
⇒	⇒
⇔	⇔
∂	∂
∅	∅
∈	∈
−	−
√	√
∞	∞
∧	∧
∨	∨
∩	∩
∪	∪
≅	≅
≈	≈
≠	≠
≡	≡
≤	≤
≥	≥
⊆	⊆
⊕	⊕
⋅	⋅
■	■
●	●
☪	☪
♀	♀
♂/♀	♂/♀
♠	♠
♣	♣
♥	♥
♦	♦
✍	✍
➔	➔
－	－
¤	¤
¢	¢
–$	–$
$	$
$b	$b
$c	$c
,$dy	,$dy
$n	$n
$now	$now
£	£
¥	¥
฿	฿
₤	₤
₩	₩
€	€
₱	₱
₹	₹
0verkill	வெர்கில்
¹	¹
½	½
½–½	½–½
⅓	⅓
¼	¼
1bataan	அதான்
1kings	இங்ஸ்
1ra	ற
1ro	ரொ
200l	௨௦௦
2011ei	2011இல்
²	²
⅔	⅔
24sata	ஸத
2and	அண்ட்
2arcsin	அர்சின்
2foot	ஃபோர்த்
2james	அமெஸ்
2pac	பச்
2-reel	ரேல்
2sai	ஸை
2x00	௨௦௦
³	³
¾	¾
3alena	அலென்
3ality	அளித்
3canal	சனல்
3com	சொம்
3deep	டேப்
3de	டெ
3mile	மிலெஸ்
3sat	ஸத்
3tera	தெரட்
4-cell	செல்ல்
4ever	எவெர்ட்
4is	இஸ்
4kings	இங்ஸ்
4koma	கொண்ம
4matic	அதிச்
4our	ஒஉர்
