</s>	</s>
.	.
,	,
-	-
)	)
(	(
'	'
#	#
}	}
the	the
of	of
தமிழ்	தமிழ்
/	/
}}	}}
–	–
a	a
%	%
and	and
in	in
to	to
"	"
+	+
?	?
!	!
s	s
utc	utc
}}}	}}}
jpg	jpg
style	style
data	data
for	for
align	align
panchayat	panchayat
gram	gram
label	label
is	is
x	x
c	c
on	on
text	text
}}}}	}}}}
file	file
image	image
or	or
n	n
http	http
b	b
by	by
h	h
f	f
if	if
this	this
with	with
e	e
p	p
from	from
at	at
be	be
//www	//www
center	center
o	o
i	i
d	d
language	language
left	left
svg	svg
m	m
r	r
$	$
isbn	isbn
px	px
flag	flag
t	t
name	name
country	country
as	as
background	background
it	it
group	group
border	border
not	not
&	&
top	top
local	local
color	color
colspan	colspan
that	that
k	k
you	you
v	v
website	website
birth_place	birth_place
page	page
alias	alias
an	an
list	list
>	>
wikipedia	wikipedia
then	then
new	new
https	https
are	are
g	g
width	width
subdivision_type	subdivision_type
use	use
em	em
no	no
right	right
template	template
subdivision_name	subdivision_name
//	//
•	•
zu/	zu/
\	\
link	link
com	com
code	code
\frac	\frac
class	class
y	y
size	size
occupation	occupation
article	article
date	date
tamil	tamil
de	de
can	can
india	india
%e	%e
will	will
round	round
title	title
national	national
l	l
university	university
u	u
blank	blank
history	history
length	length
all	all
world	world
used	used
args	args
score	score
padding	padding
yes	yes
function	function
type	type
—	—
map	map
templates	templates
demographics	demographics
return	return
articles	articles
first	first
}}}}}	}}}}}
/////	/////
state	state
wikimedia	wikimedia
w	w
other	other
}}}}}}	}}}}}}
ii	ii
j	j
solid	solid
png	png
/en/	/en/
machine	machine
official	official
utc_offset	utc_offset
may	may
///	///
^	^
number	number
see	see
team	team
html	html
id	id
timezone	timezone
°	°
spouse	spouse
pages	pages
nationality	nationality
location	location
value	value
font	font
runs	runs
→	→
do	do
death_place	death_place
parent}}	parent}}
have	have
city	city
about	about
year	year
org	org
party	party
%af%	%af%
_title	_title
international	international
alt	alt
wickets	wickets
one	one
information	information
vertical	vertical
also	also
names	names
co	co
bottom	bottom
table	table
religion	religion
indian	indian
united	united
portal	portal
_info	_info
please	please
press	press
th	th
z	z
}}}}}}}	}}}}}}}
result	result
/nd/	/nd/
we	we
−	−
more	more
category	category
which	which
park	park
english	english
header	header
www	www
only	only
white	white
var	var
·	·
john	john
parameter	parameter
report	report
site	site
none	none
iii	iii
time	time
mw	mw
has	has
leader_title	leader_title
district	district
black	black
states	states
st	st
rowspan	rowspan
height	height
was	was
free	free
source	source
us	us
caption	caption
system	system
should	should
using	using
your	your
×	×
line	line
runtime	runtime
any	any
cup	cup
so	so
leader_name	leader_name
q	q
sri	sri
population_density_km	population_density_km
south	south
non	non
bgcolor	bgcolor
wiki	wiki
latd	latd
longd	longd
when	when
unit_pref	unit_pref
best	best
auto	auto
republic	republic
default	default
its	its
true	true
section	section
longew	longew
point	point
latns	latns
~	~
avg	avg
latm	latm
space	space
but	but
longm	longm
