</s>	</s>
.	.
در	در
و	و
)	)
(	(
-	-
به	به
از	از
'	'
که	که
سال	سال
ایران	ایران
,	,
،	،
#	#
utc	utc
}	}
q	q
%	%
the	the
or%	or%
of	of
}}	}}
jpg	jpg
ship	ship
–	–
من	من
a	a
,q	,q
!	!
فارسی	فارسی
s	s
clubs	clubs
subdivision_type	subdivision_type
and	and
years	years
/	/
in	in
محمد	محمد
>	>
c	c
goals	goals
subdivision_name	subdivision_name
caps	caps
n	n
p	p
علی	علی
h	h
e	e
wikipedia	wikipedia
+	+
d	d
بن	بن
file	file
m	m
to	to
image	image
u	u
o	o
f	f
ما	ما
blank	blank
style	style
چاپ	چاپ
»	»
b	b
timezone	timezone
}}}	}}}
utc_offset	utc_offset
metric	metric
birth_place	birth_place
for	for
http	http
?	?
r	r
t	t
data	data
on	on
is	is
group	group
text	text
align	align
حسن	حسن
title	title
خان	خان
x	x
svg	svg
depth	depth
px	px
w	w
label	label
this	this
i	i
g	g
if	if
احمد	احمد
}}}}	}}}}
country	country
//en	//en
z	z
rd	rd
or	or
population_density_km	population_density_km
longew	longew
latns	latns
latd	latd
longd	longd
website	website
دبی	دبی
latm	latm
longm	longm
%d	%d
//www	//www
k	k
_info	_info
background	background
png	png
l	l
leader_title	leader_title
lats	lats
longs	longs
de	de
name	name
v	v
center	center
nationalteam	nationalteam
nationality	nationality
with	with
yamaha	yamaha
auto	auto
color	color
id	id
score	score
by	by
team	team
border	border
list	list
php	php
at	at
height	height
_name	_name
from	from
nationalyears	nationalyears
leader_name	leader_name
be	be
nationalcaps	nationalcaps
unit_pref	unit_pref
https	https
nationalgoals	nationalgoals
as	as
استان‌های	استان‌های
map	map
utc_offset_dst	utc_offset_dst
timezone_dst	timezone_dst
y	y
right	right
com	com
org/w/index	org/w/index
no	no
postal_code_type	postal_code_type
position	position
speed	speed
city	city
may	may
_dst	_dst
population_as_of	population_as_of
•	•
area_total_km	area_total_km
_title	_title
party	party
j	j
width	width
flag	flag
county	county
population_total	population_total
code	code
rwy	rwy
top	top
www	www
local	local
elev	elev
draft	draft
hold	hold
language	language
tonnage	tonnage
draught	draught
location	location
beam	beam
not	not
years_active	years_active
template	template
templates	templates
الله	الله
district	district
feature	feature
world	world
new	new
free	free
state	state
youthclubs	youthclubs
coordinates_display	coordinates_display
an	an
then	then
it	it
,p	,p
death_place	death_place
→	→
h,	h,
gross	gross
"	"
that	that
runtime	runtime
wiki	wiki
yes	yes
gnis	gnis
date	date
colspan	colspan
established_title	established_title
length	length
—	—
sp	sp
managerclubs	managerclubs
population_blank	population_blank
/c	/c
page	page
are	are
left	left
music	music
club	club
you	you
encyclopedia	encyclopedia
$	$
manageryears	manageryears
youthyears	youthyears
لا	لا
th	th
/h	/h
occupation	occupation
isbn	isbn
region	region
xq	xq
phoiac	phoiac
eteeq	eteeq
class	class
text/x	text/x
united	united
postal_code	postal_code
user	user
link	link
use	use
&	&
function	function
cinematography	cinematography
return	return
