</s>	</s>
के	के
,	,
में	में
की	की
-	-
का	का
और	और
'	'
)	)
(	(
से	से
.	.
है	है
को	को
एक	एक
पर	पर
}	}
the	the
of	of
%	%
a	a
and	and
or%	or%
#	#
to	to
}}	}}
–	–
q	q
in	in
।	।
/	/
is	is
for	for
s	s
style	style
utc	utc
!	!
}}}	}}}
?	?
धर्म	धर्म
on	on
align	align
+	+
p	p
this	this
data	data
or	or
jpg	jpg
text	text
from	from
by	by
श्री	श्री
if	if
be	be
label	label
e	e
with	with
px	px
f	f
score	score
list	list
as	as
it	it
center	center
border	border
}}}}	}}}}
i	i
rd	rd
you	you
that	that
image	image
group	group
airport	airport
not	not
c	c
n	n
x	x
file	file
are	are
at	at
color	color
"	"
template	template
b	b
background	background
an	an
width	width
d	d
t	t
m	m
templates	templates
nic	nic
page	page
o	o
team	team
h	h
de	de
use	use
top	top
name	name
left	left
%a	%a
wikipedia	wikipedia
•	•
then	then
r	r
$	$
g	g
>	>
colspan	colspan
can	can
v	v
language	language
}}}}}	}}}}}
local	local
http	http
no	no
z	z
used	used
right	right
solid	solid
will	will
article	article
em	em
see	see
which	which
also	also
class	class
other	other
new	new
svg	svg
u	u
calendar	calendar
all	all
converter	converter
#aaa	#aaa
—	—
https	https
was	was
k	k
link	link
isbn	isbn
have	have
title	title
india	india
//www	//www
one	one
bgcolor	bgcolor
size	size
w	w
y	y
com	com
may	may
country	country
date	date
padding	padding
l	l
flag	flag
parameter	parameter
but	but
website	website
value	value
international	international
first	first
function	function
am	am
round	round
has	has
do	do
pages	pages
pm	pm
should	should
any	any
national	national
more	more
only	only
about	about
native	native
id	id
your	your
//	//
font	font
yes	yes
birth_place	birth_place
%e	%e
return	return
type	type
information	information
english	english
}}}}}}	}}}}}}
inns	inns
&	&
united	united
please	please
articles	articles
number	number
so	so
when	when
state	state
time	time
using	using
la	la
runs	runs
\frac	\frac
indian	indian
talk	talk
map	map
#f	#f
alias	alias
world	world
city	city
th	th
user	user
non	non
j	j
wickets	wickets
history	history
table	table
\	\
some	some
ii	ii
result	result
year	year
there	there
till	till
example	example
args	args
hindi	hindi
us	us
line	line
occupation	occupation
bottom	bottom
wikimedia	wikimedia
links	links
html	html
states	states
