	
­	­
​	​
‎	‎
‬	‬
!	!
"	"
#	#
##	##
###	###
####	####
#####	#####
#}	#}
%	%
%%	%%
%/	%/
%}}	%}}
%–	%–
&	&
'	'
(	(
)	)
+	+
++	++
+,	+,
+/	+/
+\	+\
+}	+}
,	,
,,	,,
,,,	,,,
,\	,\
,}}	,}}
-	-
.	.
/	/
/+	/+
//	//
///	///
/>	/>
/}	/}
/}}	/}}
/}}}	/}}}
<	<
>	>
>>	>>
>>>	>>>
>}	>}
?	?
@	@
\	\
\,	\,
\,+\	\,+\
\,\	\,\
\\	\\
\\}	\\}
\^	\^
\}	\}
^	^
^\	^\
^}	^}
_	_
_%	_%
__	__
___	___
____	____
_}	_}
_}}	_}}
`	`
{	{
}	}
}%	}%
}+	}+
}+}	}+}
},	},
}/	}/
}/}	}/}
}>	}>
}\	}\
}^	}^
}}	}}
}}%	}}%
}}+	}}+
}}+}	}}+}
}}+}>	}}+}>
}}/	}}/
}}}	}}}
}}}+	}}}+
}}}/	}}}/
}}}>	}}}>
}}}}	}}}}
}}}}}	}}}}}
}}}}}}	}}}}}}
}}}}}}}	}}}}}}}
}}}}}}}}	}}}}}}}}
}}}}}}}}}	}}}}}}}}}
}}}}}}}}}}	}}}}}}}}}}
}}}}}}}}}}}	}}}}}}}}}}}
}}}}}}}}}}}}	}}}}}}}}}}}}
}}}}}}}}}}}}}	}}}}}}}}}}}}}
~	~
~/	~/
~~	~~
~~~~	~~~~
§	§
¨	¨
©	©
¬	¬
®	®
°	°
°}}	°}}
±	±
´	´
¶	¶
·	·
»	»
×	×
÷	÷
˚	˚
،	،
–	–
–}}	–}}
—	—
—}}	—}}
―	―
‘	‘
„	„
†	†
‡	‡
•	•
••	••
…	…
……	……
‧	‧
‰	‰
″	″
‹	‹
›	›
⁄	⁄
←	←
↑	↑
→	→
↓	↓
↔	↔
⇌	⇌
∆	∆
∈	∈
−	−
∗	∗
√	√
∞	∞
∩	∩
∪	∪
≈	≈
≠	≠
≡	≡
≤	≤
≥	≥
│	│
██	██
■	■
▪	▪
►	►
◄	◄
○	○
●	●
★	★
☎	☎
♀	♀
♠	♠
♣	♣
♥	♥
♦	♦
✉	✉
》	》
¤	¤
$	$
$a	$a
$c	$c
$dx,$dy	$dx,$dy
,$dy	,$dy
$now	$now
$s	$s
$x	$x
$ys	$ys
,$ys}v	,$ys}v
£	£
¥	¥
€	€
₹	₹
¹	¹
½	½
¼	¼
1bit	بیت
1mya	مية
1ra	رى
²	²
24sata	ساتا
2and	أند
2bbl	ببل
2chan	چان
2fm	فمٍ
2inf	إنف
2'nd	عـند
¾	¾
3alena	النى
3ality	الإبطي
3canal	أنال
3dlabs	لابس
3dsmax	دسمة
3dwm	دوم
3ms	مسّ
3sat	سات
3tb	طب
3yr	ير
4chan	چان
4fm	فمٍ
4mls	ملص
4ms	مسّ
4sight	سغت
4st	ستٌ
4ta	تة
5bty	بطي
5fifth	إفتح
5fr	فرّ
5stars	ستارس
5tar	تار
6bis	بِس
7lb	لبّ
7liwa	لیوان
7pay	پاي
7stanes	ستانس
8ary	اري
8chan	چان
8ta	تة
9lb	لبّ
9madryn	أدرين
9wm	وم
#a	#a
