한국어	한국어
­	­
​	​
‎	‎
‬	‬
!	!
"	"
#	#
%	%
&	&
'	'
(	(
)	)
+	+
,	,
-	-
.	.
/	/
<	<
>	>
?	?
@	@
\	\
^	^
_	_
__	__
___	___
____	____
_____	_____
______	______
_______	_______
`	`
{	{
}	}
~	~
¡	¡
§	§
¨	¨
©	©
¬	¬
®	®
¯	¯
°	°
±	±
´	´
¶	¶
·	·
»	»
¿	¿
×	×
÷	÷
˚	˚
،	،
‐	‐
‑	‑
‒	‒
–	–
—	—
―	―
‘	‘
„	„
†	†
‡	‡
•	•
…	…
″	″
‹	‹
›	›
※	※
⁂	⁂
⁄	⁄
←	←
↑	↑
→	→
↓	↓
↔	↔
↗	↗
⇌	⇌
⇒	⇒
∀	∀
∂	∂
∅	∅
∆	∆
∈	∈
∑	∑
−	−
∘	∘
√	√
∞	∞
∧	∧
∨	∨
∪	∪
∫	∫
≈	≈
≠	≠
≡	≡
≤	≤
≥	≥
⊕	⊕
│	│
┐	┐
└	└
█	█
■	■
▪	▪
►	►
○	○
●	●
★	★
☆	☆
♀	♀
♂	♂
♠	♠
♣	♣
♥	♥
♦	♦
♪	♪
♫	♫
♬	♬
♯	♯
➔	➔
。	。
》	》
・	・
（	（
）	）
，	，
－	－
：	：
｜	｜
～	～
･	･
¤	¤
¢	¢
$	$
£	£
¥	¥
฿	฿
₩	₩
€	€
₴	₴
01tech	เตจ
¹	¹
½	½
⅓	⅓
¼	¼
1april	พริล
1bit	บิต
1mya	มยะ
1net	เนธ
1ra	ร์อะ
1ro	โร่
1trent	เร้นท์
²	²
⅔	⅔
24sata	ษัทอะ
27being	เบิ่ง
2april	พริล
2chan	อชัน
2sai	ใส่
2sides	อิเดส
³	³
¾	¾
3alena	เลนั
3april	พริล
3deep	เดเนป
3de	เด๊อ
3mile	มิเล
3ms	มส
3net	เนธ
3rei	เริ
3sat	ษัต
3tb	ตบ
3tera	เถระ
3yr	ยอร์
46mins	มิ้นซ์
4april	พริล
4cast	จัสท์
4chan	อชัน
4front	ร้อนต
4is	อิส
4knots	โน้ตส์
4-koma	โคมั
4koma	โคมั
4ms	มส
4play	พลาย
4st	ษฐ
4ta	ฑะ
4teen	ตอื่น
4us	อุส
5april	พริล
5channel	ชั่นแนล
5fifth	ฟิฟธ์
5fr	ฟร์
5pb	ผบ
5stars	สทัส
5tar	ทัร
5ttt	ทตฺต
6april	พริล
6bis	อบิส
6emile	มิเล
6sup	สุภ
6teen	ตอื่น
7de	เด๊อ
7lb	ลบ
7-like	ลิเก
7or	โอร์
7pay	ปัญ
7stanes	สแตส
7using	สิ้ง
86open	โอเพ่น
8april	พริล
8chan	อชัน
8ta	ฑะ
8trium	ทรุม
9april	พริล
9atom	อะตอม
9front	ฟร้อนท์
9lb	ลบ
9mobile	โมบิล
9nine	นิเน
9we	เว่อ
9wm	วม
_a	_a
a	a
a_	a_
á	á
à	à
â	â
å	å
ä	ä
ã	ã
ą	ą
ā	ā
aa	aa
aaa	aaa
aaaa	aaaa
aaaaaa	aaaaaa
aaai	aaai
aaas	aaas
aaawk	สาวก
aab	aab
aabach	บัจ
aabel	อะเบล
aac	aac
aachen	aachen
aachener	aachener
aachen	เจน
aacsb	aacsb
aad	aad
aadab	ระดับ
aadesh	อะเดส
aadland	ดลันด์
aad	อัด
aae	aae
aaen	แอน
aaf	aaf
aagard	าร์ด
aage	aage
aag	อ่าง
aaicha	ใ้ช้
aaipop	ไอพ็
aaiye	ไลเย
aak	aak
aakaam	มะขาม
aake	อะเค
aakko	อักโข
aal	aal
aalaa	ยะลา
aalbaek	อัลบัฆ
aalbers	อัลเบร์
aalberts	กัลเบรธ
