</s>	</s>
,	,
-	-
.	.
)	)
(	(
'	'
}	}
the	the
of	of
and	and
।	।
a	a
%	%
to	to
}}	}}
in	in
or%	or%
#	#
q	q
for	for
s	s
is	is
–	–
}}}	}}}
/	/
style	style
or	or
this	this
on	on
be	be
score	score
data	data
p	p
by	by
if	if
}}}}	}}}}
label	label
jpg	jpg
"	"
text	text
with	with
image	image
as	as
that	that
align	align
not	not
group	group
at	at
!	!
it	it
from	from
template	template
e	e
,q	,q
top	top
an	an
px	px
are	are
avg	avg
border	border
you	you
f	f
?	?
page	page
name	name
svg	svg
article	article
use	use
flag	flag
t	t
center	center
team	team
background	background
c	c
year	year
list	list
rd	rd
+	+
local	local
file	file
runs	runs
color	color
i	i
used	used
b	b
width	width
articles	articles
can	can
m	m
new	new
d	d
•	•
link	link
then	then
bowling	bowling
left	left
isbn	isbn
best	best
wickets	wickets
wikipedia	wikipedia
title	title
will	will
templates	templates
birth_place	birth_place
o	o
column	column
club	club
size	size
parameter	parameter
code	code
n	n
colspan	colspan
no	no
r	r
see	see
date	date
may	may
h	h
g	g
bat	bat
s/	s/
x	x
website	website
bowl	bowl
university	university
catches/stumpings	catches/stumpings
other	other
language	language
http	http
result	result
first	first
also	also
should	should
subdivision_type	subdivision_type
class	class
which	which
yes	yes
subdivision_name	subdivision_name
all	all
history	history
one	one
u	u
de	de
l	l
pages	pages
report	report
goals	goals
args	args
//www	//www
solid	solid
right	right
map	map
padding	padding
have	have
k	k
alias	alias
type	type
do	do
em	em
state	state
return	return
only	only
—	—
}}}}}	}}}}}
india	india
w	w
v	v
official	official
but	but
function	function
world	world
>	>
any	any
number	number
international	international
source	source
has	has
national	national
information	information
press	press
more	more
talk	talk
when	when
}}}}}}	}}}}}}
about	about
th	th
was	was
com	com
example	example
using	using
font	font
machine	machine
demographics	demographics
al	al
venue	venue
your	your
country	country
caps	caps
time	time
#aaa	#aaa
inns	inns
j	j
years	years
##	##
true	true
blank	blank
y	y
parameters	parameters
please	please
utc	utc
,p	,p
parent}}	parent}}
html	html
location	location
such	such
table	table
%a	%a
nationality	nationality
there	there
user	user
section	section
tenfor	tenfor
its	its
deliveries	deliveries
links	links
value	value
united	united
english	english
category	category
optional	optional
utc_offset	utc_offset
so	so
display	display
umpires	umpires
occupation	occupation
default	default
some	some
alt	alt
states	states
note	note
timezone	timezone
free	free
religion	religion
hlist	hlist
format	format
line	line
z	z
/–	/–
bottom	bottom
content	content
these	these
non	non
field	field
work	work
https	https
most	most
city	city
death_place	death_place
they	they
after	after
#f	#f
below	below
toss	toss
than	than
auto	auto
&	&
into	into
header	header
been	been
mw	mw
their	their
york	york
bgcolor	bgcolor
add	add
images	images
id	id
#default	#default
caption	caption
_title	_title
site	site
edit	edit
png	png
where	where
main	main
$	$
set	set
two	two
infobox	infobox
stadium	stadium
_info	_info
black	black
rowspan	rowspan
indian	indian
war	war
metric	metric
us	us
like	like
people	people
notes	notes
last	last
motm	motm
copyright	copyright
